username,name,signals,total_projects,funded_projects,completed_projects,total_distributed_usd,distributed_ada_from_json,catalyst_url
sebastiengllmt,Sebastien Guillemot,top_1pct_distributed_usd,35,31,21,2021622.0,2978725.0,https://projectcatalyst.io/proposers/sebastiengllmt
gammer13,Shay Gamer,top_1pct_distributed_usd,15,6,3,2294924.0,3088714.28,https://projectcatalyst.io/proposers/gammer13
snek,Snek Labs,completion_ratio_lt_0.5_funded_ge_5,7,6,1,452836.0,1033400.0,https://projectcatalyst.io/proposers/snek
spectrumlabs,Spectrum Labs,completion_ratio_lt_0.5_funded_ge_5,7,7,2,742323.0,1434979.0,https://projectcatalyst.io/proposers/spectrumlabs
sustainableada,Sustainable ADA,high_volume_proposer_ge_50_projects,57,8,6,810830.0,1213000.0,https://projectcatalyst.io/proposers/sustainableada
victorcorcino,Victor Corcino,high_volume_proposer_ge_50_projects,108,46,46,676886.42,0.0,https://projectcatalyst.io/proposers/victorcorcino
wada,Wada,high_volume_proposer_ge_50_projects,126,44,44,1143225.0,195000.0,https://projectcatalyst.io/proposers/wada
xersimp,Xerberus,completion_ratio_lt_0.5_funded_ge_5,6,5,1,1040383.0,1635340.0,https://projectcatalyst.io/proposers/xersimp
yaadlabs,Yaad Labs,top_1pct_distributed_usd,5,1,1,1724556.0,1644000.0,https://projectcatalyst.io/proposers/yaadlabs
yogo,Yoram,high_volume_proposer_ge_50_projects,75,32,31,701274.0,160000.0,https://projectcatalyst.io/proposers/yogo
yutazzz,yutazzz,top_1pct_distributed_usd,40,34,32,1770409.0,2472286.8,https://projectcatalyst.io/proposers/yutazzz
