epoch_no,withdrawals_ada,withdrawals_count
571,1500000.000000000000,5
575,168438176.00000000,3
576,78130051.000000000000,27
577,18000000.000000000000,2
578,5963280.000000000000,5
598,5000000.000000000000,1
606,70000000.000000000000,1
