proposerId,username,name,ideascaleUrl,approved_projects_count,paid_projects_count,flags_count,flags_weight,flag_ids,flag_counts_by_id
23055,yutazzz,yutazzz,https://cardano.ideascale.com/c/profile/23055,38,34,2,8,F-CAT-001;F-CAT-002,F-CAT-001:1;F-CAT-002:1
22974,raz,Raz,https://cardano.ideascale.com/c/profile/22974,35,33,2,8,F-CAT-001;F-CAT-002,F-CAT-001:1;F-CAT-002:1
53330,dcspark,dcSpark,https://cardano.ideascale.com/c/profile/53330,62,60,1,6,F-CAT-001,F-CAT-001:1
40856,nicoarqueros,nicoarqueros,https://cardano.ideascale.com/c/profile/40856,57,57,1,6,F-CAT-001,F-CAT-001:1
40489,lpmaho,MLabs,https://cardano.ideascale.com/c/profile/40489,45,44,1,6,F-CAT-001,F-CAT-001:1
23522,sebastiengllmt,Sebastien Guillemot,https://cardano.ideascale.com/c/profile/23522,31,31,1,6,F-CAT-001,F-CAT-001:1
58571,santi,Santiago Carmuega,https://cardano.ideascale.com/c/profile/58571,24,24,1,6,F-CAT-001,F-CAT-001:1
76886,federicoweill,Federico Weill,https://cardano.ideascale.com/c/profile/76886,22,22,1,6,F-CAT-001,F-CAT-001:1
26173,profd2004,Darlington Wleh,https://cardano.ideascale.com/c/profile/26173,21,21,1,6,F-CAT-001,F-CAT-001:1
25399,cole.vt,cole.vt,https://cardano.ideascale.com/c/profile/25399,20,19,1,6,F-CAT-001,F-CAT-001:1
73130,muesliswap,MuesliSwap Team,https://cardano.ideascale.com/c/profile/73130,16,16,1,6,F-CAT-001,F-CAT-001:1
24097,ranket,ranket,https://cardano.ideascale.com/c/profile/24097,17,16,1,6,F-CAT-001,F-CAT-001:1
23527,bigpey,Atrium Lab Inc.,https://cardano.ideascale.com/c/profile/23527,15,15,1,6,F-CAT-001,F-CAT-001:1
68255,philipdisarro,philipdisarro,https://cardano.ideascale.com/c/profile/68255,15,15,1,6,F-CAT-001,F-CAT-001:1
68467,lidonation,LIDO Nation Foundation,https://cardano.ideascale.com/c/profile/68467,14,14,1,6,F-CAT-001,F-CAT-001:1
76754,anastasia.labs,Anastasia Labs,https://cardano.ideascale.com/c/profile/76754,13,13,1,6,F-CAT-001,F-CAT-001:1
77023,sundae.dan,Dan Gonzalez,https://cardano.ideascale.com/c/profile/77023,13,13,1,6,F-CAT-001,F-CAT-001:1
76367,meshsdk,Mesh JS SDK,https://cardano.ideascale.com/c/profile/76367,13,13,1,6,F-CAT-001,F-CAT-001:1
36727,quantumplation,quantumplation,https://cardano.ideascale.com/c/profile/36727,13,13,1,6,F-CAT-001,F-CAT-001:1
76753,jona.ca.eng,Jonathan Rodriguez,https://cardano.ideascale.com/c/profile/76753,12,12,1,6,F-CAT-001,F-CAT-001:1
26199,padierfind,Patrick Tobler,https://cardano.ideascale.com/c/profile/26199,13,12,1,6,F-CAT-001,F-CAT-001:1
70222,seirayun,Seira Yun Socious.io,https://cardano.ideascale.com/c/profile/70222,12,12,1,6,F-CAT-001,F-CAT-001:1
80761,sidanlab,SIDAN Lab,https://cardano.ideascale.com/c/profile/80761,12,12,1,6,F-CAT-001,F-CAT-001:1
51202,wolfram.blockchain.labs,Wolfram Blockchain Labs,https://cardano.ideascale.com/c/profile/51202,12,12,1,6,F-CAT-001,F-CAT-001:1
77073,yuri,YURI KURIYAMA,https://cardano.ideascale.com/c/profile/77073,12,12,1,6,F-CAT-001,F-CAT-001:1
81352,dj.bodden,DJ Bodden,https://cardano.ideascale.com/c/profile/81352,11,11,1,6,F-CAT-001,F-CAT-001:1
77734,ashish.strica,Strica,https://cardano.ideascale.com/c/profile/77734,11,11,1,6,F-CAT-001,F-CAT-001:1
61300,wolf31o2,Chris Gianelloni,https://cardano.ideascale.com/c/profile/61300,10,10,1,6,F-CAT-001,F-CAT-001:1
77458,fluidtokens,Matteo Coppola,https://cardano.ideascale.com/c/profile/77458,10,10,1,6,F-CAT-001,F-CAT-001:1
49886,robertc3,Robert Hever,https://cardano.ideascale.com/c/profile/49886,10,10,1,6,F-CAT-001,F-CAT-001:1
53458,vlasin,Vladimir Sinyakov,https://cardano.ideascale.com/c/profile/53458,10,10,1,6,F-CAT-001,F-CAT-001:1
53841,djzwar,damon,https://cardano.ideascale.com/c/profile/53841,9,9,1,6,F-CAT-001,F-CAT-001:1
43276,indigolabs,Indigo Labs,https://cardano.ideascale.com/c/profile/43276,9,9,1,6,F-CAT-001,F-CAT-001:1
29617,kuni,kuni,https://cardano.ideascale.com/c/profile/29617,9,9,1,6,F-CAT-001,F-CAT-001:1
31172,michaelyagi,Michael Yagi,https://cardano.ideascale.com/c/profile/31172,9,9,1,6,F-CAT-001,F-CAT-001:1
67667,michele.nuzzi,Michele Nuzzi,https://cardano.ideascale.com/c/profile/67667,10,9,1,6,F-CAT-001,F-CAT-001:1
31513,mladenlm,Mladen Lamesevic,https://cardano.ideascale.com/c/profile/31513,9,9,1,6,F-CAT-001,F-CAT-001:1
73656,projektcreative,projekt creative,https://cardano.ideascale.com/c/profile/73656,9,9,1,6,F-CAT-001,F-CAT-001:1
67930,sustainableada,Sustainable ADA,https://cardano.ideascale.com/c/profile/67930,9,9,1,6,F-CAT-001,F-CAT-001:1
66814,wongkahinhinson,[SIDAN] Whatever,https://cardano.ideascale.com/c/profile/66814,8,8,1,6,F-CAT-001,F-CAT-001:1
77755,catalystrider,Catalyst Rider,https://cardano.ideascale.com/c/profile/77755,8,8,1,6,F-CAT-001,F-CAT-001:1
68846,pipaw,Ethan | Optim,https://cardano.ideascale.com/c/profile/68846,8,8,1,6,F-CAT-001,F-CAT-001:1
53238,minswapdex,Minswap Labs,https://cardano.ideascale.com/c/profile/53238,8,8,1,6,F-CAT-001,F-CAT-001:1
77817,randcorp,rand McHenry,https://cardano.ideascale.com/c/profile/77817,8,8,1,6,F-CAT-001,F-CAT-001:1
67762,elraulito,Raul,https://cardano.ideascale.com/c/profile/67762,8,8,1,6,F-CAT-001,F-CAT-001:1
77812,rareevo,Wes Parkinson,https://cardano.ideascale.com/c/profile/77812,8,8,1,6,F-CAT-001,F-CAT-001:1
50067,artemwright,Artem Wright,https://cardano.ideascale.com/c/profile/50067,7,7,1,6,F-CAT-001,F-CAT-001:1
76542,blinklabs,Blink Labs,https://cardano.ideascale.com/c/profile/76542,7,7,1,6,F-CAT-001,F-CAT-001:1
62114,zygomeb,maksymilian brodowicz,https://cardano.ideascale.com/c/profile/62114,7,7,1,6,F-CAT-001,F-CAT-001:1
28452,mr.goose,Mr. Goose,https://cardano.ideascale.com/c/profile/28452,7,7,1,6,F-CAT-001,F-CAT-001:1
41594,spectrumlabs,Spectrum Labs,https://cardano.ideascale.com/c/profile/41594,7,7,1,6,F-CAT-001,F-CAT-001:1
39364,blade,$conrad,https://cardano.ideascale.com/c/profile/39364,6,6,1,6,F-CAT-001,F-CAT-001:1
61721,bigirishlion,BigIrishLion,https://cardano.ideascale.com/c/profile/61721,6,6,1,6,F-CAT-001,F-CAT-001:1
77191,maestro,Maestro Team,https://cardano.ideascale.com/c/profile/77191,6,6,1,6,F-CAT-001,F-CAT-001:1
68203,digifarm,Nils Helset,https://cardano.ideascale.com/c/profile/68203,6,6,1,6,F-CAT-001,F-CAT-001:1
61738,papagoose,Papa Goose,https://cardano.ideascale.com/c/profile/61738,6,6,1,6,F-CAT-001,F-CAT-001:1
80682,gammer13,Shay Gamer,https://cardano.ideascale.com/c/profile/80682,6,6,1,6,F-CAT-001,F-CAT-001:1
81184,snek,Snek Labs,https://cardano.ideascale.com/c/profile/81184,6,6,1,6,F-CAT-001,F-CAT-001:1
81900,socious,Socious Team,https://cardano.ideascale.com/c/profile/81900,6,6,1,6,F-CAT-001,F-CAT-001:1
61114,smacurdy,Steph Macurdy,https://cardano.ideascale.com/c/profile/61114,6,6,1,6,F-CAT-001,F-CAT-001:1
77046,zengate,zenGate Global,https://cardano.ideascale.com/c/profile/77046,6,6,1,6,F-CAT-001,F-CAT-001:1
77435,catalystteam,Catalyst Team,https://cardano.ideascale.com/c/profile/77435,5,5,1,6,F-CAT-001,F-CAT-001:1
76656,gabrielag,Gabriela Guerra,https://cardano.ideascale.com/c/profile/76656,5,5,1,6,F-CAT-001,F-CAT-001:1
76868,slfmr1,Phil Isenmann,https://cardano.ideascale.com/c/profile/76868,5,5,1,6,F-CAT-001,F-CAT-001:1
87724,teopetricevic,Teo Petricevic,https://cardano.ideascale.com/c/profile/87724,5,5,1,6,F-CAT-001,F-CAT-001:1
76657,xersimp,Xerberus,https://cardano.ideascale.com/c/profile/76657,5,5,1,6,F-CAT-001,F-CAT-001:1
42605,juana.attieh,Juana.attieh,https://cardano.ideascale.com/c/profile/42605,4,4,1,6,F-CAT-001,F-CAT-001:1
60524,daniel.friedman,Daniel.friedman,https://cardano.ideascale.com/c/profile/60524,3,3,1,6,F-CAT-001,F-CAT-001:1
77202,rosenbridge,Rosen Bridge,https://cardano.ideascale.com/c/profile/77202,3,3,1,6,F-CAT-001,F-CAT-001:1
72527,empowa.io,Empowa Project,https://cardano.ideascale.com/c/profile/72527,2,2,1,6,F-CAT-001,F-CAT-001:1
28152,empowa,Glen Jordan,https://cardano.ideascale.com/c/profile/28152,2,2,1,6,F-CAT-001,F-CAT-001:1
88856,mac0333,Kotaro Motoshima,https://cardano.ideascale.com/c/profile/88856,2,2,1,6,F-CAT-001,F-CAT-001:1
59885,kristian.portz,kristian.portz,https://cardano.ideascale.com/c/profile/59885,2,2,1,6,F-CAT-001,F-CAT-001:1
96005,chrisjoannou,Chris Joannou,https://cardano.ideascale.com/c/profile/96005,1,1,1,6,F-CAT-001,F-CAT-001:1
42421,gregdale,Greg Schneider,https://cardano.ideascale.com/c/profile/42421,1,1,1,6,F-CAT-001,F-CAT-001:1
95816,nse,Nairobi Securities Exchange,https://cardano.ideascale.com/c/profile/95816,1,1,1,6,F-CAT-001,F-CAT-001:1
95881,naoki.sakata,Naoki Sakata,https://cardano.ideascale.com/c/profile/95881,1,1,1,6,F-CAT-001,F-CAT-001:1
92607,techstars,Piotr Godzinski,https://cardano.ideascale.com/c/profile/92607,1,1,1,6,F-CAT-001,F-CAT-001:1
104141,s.kuepers,Sebastian Küpers,https://cardano.ideascale.com/c/profile/104141,1,1,1,6,F-CAT-001,F-CAT-001:1
96672,yaadlabs,Yaad Labs,https://cardano.ideascale.com/c/profile/96672,1,1,1,6,F-CAT-001,F-CAT-001:1
95930,yairziv,Yair Ziv,https://cardano.ideascale.com/c/profile/95930,1,1,1,6,F-CAT-001,F-CAT-001:1
30994,tienna,tienna,https://cardano.ideascale.com/c/profile/30994,14,14,1,2,F-CAT-002,F-CAT-002:1
27049,victorcorcino,Victor Corcino,https://cardano.ideascale.com/c/profile/27049,51,47,0,0,,
31066,wada,Wada,https://cardano.ideascale.com/c/profile/31066,48,45,0,0,,
24124,mmahut,Five Binaries,https://cardano.ideascale.com/c/profile/24124,39,37,0,0,,
47268,yogo,Yoram,https://cardano.ideascale.com/c/profile/47268,33,33,0,0,,
22944,fhilip.k,Philip Khoo,https://cardano.ideascale.com/c/profile/22944,33,30,0,0,,
37298,felixweber,Felix Weber [SWARM],https://cardano.ideascale.com/c/profile/37298,34,27,0,0,,
34123,matthiasksieber,Matthias Sieber,https://cardano.ideascale.com/c/profile/34123,26,25,0,0,,
24473,heinz.gassner,heinz.gassner,https://cardano.ideascale.com/c/profile/24473,24,22,0,0,,
34008,swhitenstall,Stephen Whitenstall,https://cardano.ideascale.com/c/profile/34008,23,22,0,0,,
50266,rodolfo.miranda,rodolfo.miranda,https://cardano.ideascale.com/c/profile/50266,20,19,0,0,,
27180,coire1,Lucio B,https://cardano.ideascale.com/c/profile/27180,21,18,0,0,,
52351,easterntownhall,Eastern Townhall,https://cardano.ideascale.com/c/profile/52351,18,17,0,0,,
50550,eli.j.selkin,Eli Selkin,https://cardano.ideascale.com/c/profile/50550,17,17,0,0,,
50461,phuffyking,Stephanie King,https://cardano.ideascale.com/c/profile/50461,17,17,0,0,,
52480,thecatalystschool,The Catalyst School,https://cardano.ideascale.com/c/profile/52480,17,17,0,0,,
50068,alexp7,Alex Pestchanker,https://cardano.ideascale.com/c/profile/50068,16,16,0,0,,
52111,catalystswarm,Catalyst Swarm,https://cardano.ideascale.com/c/profile/52111,16,16,0,0,,
39754,xeeban,Nori Nishigaya,https://cardano.ideascale.com/c/profile/39754,17,16,0,0,,
23068,workshopmaybe,James Dunseith,https://cardano.ideascale.com/c/profile/23068,15,15,0,0,,
46633,nvhieu,nvhieu,https://cardano.ideascale.com/c/profile/46633,15,15,0,0,,
24236,rcmorano,rcmorano [PEACE],https://cardano.ideascale.com/c/profile/24236,16,14,0,0,,
38271,jt.aussiegingersnap,Jason Toevs,https://cardano.ideascale.com/c/profile/38271,13,13,0,0,,
25913,joshf,Josh F,https://cardano.ideascale.com/c/profile/25913,19,13,0,0,,
